admit;gre;gpa;ses;Gender_Male;Race;rank
Admitted;780;4;3;1;3;2
Not admitted;620;3.43;3;0;2;3
Admitted;580;3.12;1;0;2;3
Not admitted;700;3.52;3;0;3;2
Admitted;540;3.78;1;0;3;2
Admitted;760;2.81;2;1;2;1
Not admitted;700;3.27;2;0;2;2
Not admitted;720;3.31;3;1;2;1
Admitted;560;3.69;1;0;3;3
Not admitted;720;3.94;3;1;3;3
Admitted;520;4;1;0;1;1
Admitted;540;3.49;1;1;3;1
Not admitted;680;3.14;1;1;1;2
Not admitted;460;3.44;2;1;3;2
Admitted;560;3.36;1;0;1;1
Not admitted;480;2.78;3;0;1;3
Not admitted;460;2.93;1;1;1;3
Not admitted;620;3.63;2;1;2;3
Not admitted;580;4;1;0;2;1
Not admitted;800;3.89;3;0;1;2
Admitted;540;3.77;3;0;1;2
Admitted;680;3.76;1;1;2;3
Admitted;680;2.42;1;1;1;1
Admitted;620;3.37;3;1;1;1
Not admitted;560;3.78;1;1;3;2
Not admitted;560;3.49;3;0;1;4
Not admitted;620;3.63;3;1;2;2
Admitted;800;4;2;0;3;2
Not admitted;640;3.12;2;1;1;3
Not admitted;540;2.7;2;1;1;2
Not admitted;700;3.65;1;0;3;2
Admitted;540;3.49;3;1;1;2
Not admitted;540;3.51;3;1;3;2
Not admitted;660;4;1;1;3;1
Admitted;480;2.62;2;1;1;2
Not admitted;420;3.02;1;1;3;1
Admitted;740;3.86;3;0;2;2
Not admitted;580;3.36;3;1;2;2
Not admitted;640;3.17;2;0;2;2
Not admitted;640;3.51;3;1;3;2
Admitted;800;3.05;1;1;3;2
Admitted;660;3.88;1;0;1;2
Admitted;600;3.38;3;0;3;3
Admitted;620;3.75;2;0;2;2
Admitted;460;3.99;3;1;3;3
Not admitted;620;4;2;0;2;2
Not admitted;560;3.04;2;0;1;3
Not admitted;460;2.63;3;0;2;2
Not admitted;700;3.65;1;1;1;2
Not admitted;600;3.89;2;1;3;3
